handle,video_id,title,published_at,live_broadcast_content,actual_start_time,actual_end_time,scheduled_start_time,duration_hours,view_count,like_count,comment_count
@ShioriNovella,cpJATemrVWk,2025 Gamescom Watchalong,2025-08-19T20:17:37Z,none,2025-08-19T16:56:49Z,2025-08-19T20:06:31Z,2025-08-19T17:00:00Z,3.16,54254,6894,125
@ShioriNovella,XnlTvSr0hrM,Love & Deepspace | But Without the Love and Plenty of Space,2025-08-18T23:22:21Z,none,2025-08-18T19:55:16Z,2025-08-18T23:11:50Z,2025-08-18T20:00:00Z,3.28,47711,6435,138
@ShioriNovella,YZYnMPyJDtQ,Anime Girl Learns & Practices Chess,2025-08-17T19:02:45Z,none,2025-08-17T16:56:41Z,2025-08-17T18:56:58Z,2025-08-17T17:00:00Z,2.0,46486,7106,162
@OmaruPolka,q_-kYbBn3FE,【#ホロ7DTDハード】引っ越しが終わったあとに楽に参加してサーセンｗｗ【尾丸ポルカ/ホロライブ】,2025-08-22T16:40:49Z,none,2025-08-22T12:59:34Z,2025-08-22T16:27:09Z,2025-08-22T13:00:00Z,3.46,41892,4663,29
@OmaruPolka,46WKTFo8W6k,【R.E.P.O.】誰が一番ステージ進められる！？賭けろよ誇りを・・・ #ソロREPO並走【尾丸ポルカ/ホロライブ】,2025-08-21T13:35:49Z,none,2025-08-21T10:59:55Z,2025-08-21T13:16:07Z,2025-08-21T11:00:00Z,2.27,61774,4828,49
@OmaruPolka,lrjfZW52PuU,【Among Us】ゾンビの世界から突然宇宙で人狼！？【尾丸ポルカ/ホロライブ】,2025-08-19T14:49:43Z,none,2025-08-19T13:46:36Z,2025-08-19T14:44:56Z,2025-08-19T13:30:00Z,0.97,39429,4131,40
@OmaruPolka,qDw42Jn756c,【#ホロ7DTDハード】雪原でゲレンデ絶好調真冬の恋☃大引っ越しスペシャル⛷️🏔️【尾丸ポルカ/ホロライブ】,2025-08-19T13:28:58Z,none,2025-08-19T13:02:47Z,2025-08-19T13:26:08Z,2025-08-19T13:00:00Z,0.39,28144,2910,24
@OmaruPolka,g45PxRhaEoA,【孤独なインディーゲーム開発者の一生 Demo】ポルカもゲームをつくって生きていくんだ！！！！【尾丸ポルカ/ホロライブ】,2025-08-18T16:23:23Z,none,2025-08-18T13:02:59Z,2025-08-18T16:12:54Z,2025-08-18T13:00:00Z,3.17,59821,5263,48
@KaelaKovalskia,mHzwdKGoS2o,【Umamusume: Pretty Derby】TAURUS CUP ROUND 2. i have 80% win rate 😎👌🔥【Kaela Kovalskia / hololiveID】,2025-08-24T05:15:48Z,none,2025-08-24T02:30:28Z,2025-08-24T05:01:13Z,2025-08-24T02:30:00Z,2.51,40218,4090,24
@KaelaKovalskia,GuYxgr7AUuw,【Umamusume: Pretty Derby】TAURUS CUP: we have 5 chances and a dream【Kaela Kovalskia / hololiveID】,2025-08-22T06:36:31Z,none,2025-08-22T01:59:29Z,2025-08-22T06:22:39Z,2025-08-22T02:00:00Z,4.39,72372,6056,64
@KaelaKovalskia,UxJRvcp-B0E,【Is This Seat Taken?】completing the puzzles 💫【Kaela Kovalskia / hololiveID】,2025-08-21T10:08:33Z,none,2025-08-21T03:30:30Z,2025-08-21T09:45:24Z,2025-08-21T03:30:00Z,6.25,50385,5393,38
